"","x","y","diameter","height"
"1",-1.993875,0.9297642,1,1.7
"2",-1.019901,0.4120694,1,1.7
"3",-4.914071,1.985425,1,1.6
"4",-4.469962,1.45239,5,4.1
"5",-4.303847,0.9148214,3,3.1
"6",-3.814774,0.8108644,4,4.3
"7",-3.423515,0.7276988,2,2.3
"8",-3.130071,0.6653246,4,4
"9",-4.431633,0.7814268,7,5.4
"10",-0.9,2.0670868e-06,2,1.8
"11",-3.899406,0.068073884,3,3.2
"12",-1.315571,-0.4788248,1,1.3
"13",-2.499282,-0.7166504,5,3.8
"14",-2.704594,-0.7246863,1,1.5
"15",-4.510529,-1.641685,2,2.1
"16",-4.134652,-1.504878,3,3.3
"17",-4.107759,-1.576808,3,3
"18",-4.040682,-1.470676,4,3.2
"19",-3.174177,-1.218442,1,1.5
"20",-3.150349,-2.124924,1,1.6
"21",-4.948165,-3.213357,2,2.1
"22",-0.5656871,-0.5656838,1,1.4
"23",-3.217394,-2.699698,3,2.8
"24",-2.877367,-2.778625,4,4
"25",-4.027665,-4.973723,1,1.4
"26",-4.847309,-7.464154,1,1.6
"27",-4.738381,-7.29642,3,4
"28",-0.3914369,-0.580325,1,1.9
"29",-3.444492,-5.512302,7,4.8
"30",-1.960709,-3.019208,1,1.6
"31",-2.225672,-3.561795,3,3
"32",-0.900005,-1.558843,3,3.1
"33",-2.450014,-4.243516,6,4.4
"34",-3.1028,-5.597556,1,2.1
"35",-3.248244,-5.859941,2,3
"36",-3.400019,-5.888962,1,2.4
"37",-3.286322,-6.180622,1,1.9
"38",-3.393688,-6.122327,2,2.3
"39",-3.700021,-6.408576,6,4.8
"40",-4.600026,-7.967419,1,1.8
"41",-1.436497,-3.946704,1,2
"42",-2.701983,-7.423563,3,3.5
"43",-1.941167,-7.244437,3,3.3
"44",-1.967049,-7.34103,2,2.8
"45",-1.669284,-6.695035,1,1.65
"46",-1.475744,-5.918799,2,2.4
"47",-1.268229,-4.733033,3,3.5
"48",-0.6531979,-2.619796,0,1
"49",-0.7119707,-4.037709,3,3
"50",-1.007178,-5.711882,1,2.4
"51",-0.9506087,-7.741857,3,3.4
"52",-0.7212717,-6.862198,0,0.8
"53",-2.361414e-05,-7.1,2,2.3
"54",-2.2616361e-05,-6.8,7,5
"55",-1.9623018e-05,-5.9,4,3.6
"56",0.3820261,-7.289998,3,3.4
"57",0.3506266,-6.690819,2,4
"58",0.593918,-6.674507,1,1.5
"59",0.583918,-6.684507,4,4.7
"60",0.5752028,-6.574887,6,5
"61",0.4254918,-6.085142,2,2.8
"62",0.5229116,-5.97717,1,1.4
"63",0.7839378,-7.458917,2,2.9
"64",0.7734853,-7.359465,5,4.6
"65",0.6376027,-6.066586,1,1.6
"66",0.6271502,-5.967134,1,2.3
"67",0.6166977,-5.867682,3,4.4
"68",0.5957927,-5.668777,2,3.6
"69",0.6580755,-5.359752,6,4.9
"70",0.3149265,-1.364119,1,2.1
"71",0.7741384,-3.104949,1,1.5
"72",0.8709057,-3.493068,3,3
"73",1.204589,-3.498423,3,3
"74",1.530154,-4.443943,3,3.2
"75",1.953639,-4.602531,3,3.2
"76",1.992711,-4.694582,2,3
"77",2.031784,-4.786633,2,3
"78",2.198075,-5.154835,1,1.9
"79",2.188075,-5.154835,3,3.6
"80",2.237032,-5.024508,3,3.3
"81",2.318379,-5.207218,1,2.4
"82",3.634487,-7.794261,7,4.9
"83",2.323348,-4.763618,2,2.5
"84",2.411021,-4.943377,1,1.6
"85",4.302621,-6.625516,7,3.9
"86",4.106847,-6.57239,4,4
"87",2.384621,-3.816226,4,4.2
"88",1.539145,-1.970033,3,3.1
"89",4.719881,-5.828613,1,1.4
"90",3.583619,-3.341807,4,3.8
"91",2.120918,-1.977804,1,1.8
"92",4.457258,-2.678217,2,2.9
"93",3.221761,-1.367573,1,2.2
"94",3.129711,-1.328499,3,3.5
"95",1.933057,-0.8205435,3,3.2
"96",4.079437,-0.499684,1,2.1
"97",4.069437,-0.509684,6,5.2
"98",2.757459,-0.4862275,3,3.5
"99",2.673722,-0.3757801,5,3.9
"100",2.382109,-0.292498,1,1.5
"101",2.696299,-0.14132,0,0.9
"102",3.305476,-0.1727244,2,2.8
"103",3.295476,-0.1627244,1,1.5
"104",3.595065,-0.1884266,1,2.3
"105",3.894654,-0.2041288,4,4
"106",4.397319,-0.1535792,0,0.9
"107",2.490487,0.2178892,2,2.3
"108",4.881354,0.4270628,1,1.2
"109",3.366912,0.4731882,2,2.5
"110",3.862046,0.5427747,3,3.7
"111",4.159126,0.5845266,1,2
"112",4.037712,0.711957,4,3.8
"113",3.325702,0.7068992,0,1.3
"114",2.934443,0.6237346,3,3.2
"115",4.733037,1.268212,2,2.7
"116",4.698464,1.7101,5,4.8
"117",3.296725,1.679764,2,2.3
"118",0.6709366,0.4357109,6,4.5
"119",2.289731,1.430781,0,1.3
"120",0.737237,0.5162184,0,1.3
"121",2.374739,1.99264,3,3.1
"122",1.198207,1.845074,5,4.3
"123",0.8714234,1.341872,1,2.1
"124",0.6180466,1.0286,6,4.8
"125",0.2079127,0.9781474,2,2.5
"126",-0.1395106,1.995128,0,1.2
